filename,class
2) -ʒ- - -ʃ-/-ʃ-/P_Numaun(smile)/chicanery.mp3.wav,chicanery
2) -ʒ- - -ʃ-/-ʃ-/P_Numaun(smile)/distinguish.mp3.wav,distinguish
2) -ʒ- - -ʃ-/-ʃ-/P_Numaun(smile)/flush.mp3.wav,flush
2) -ʒ- - -ʃ-/-ʃ-/P_Numaun(smile)/ratio.mp3.wav,ratio
2) -ʒ- - -ʃ-/-ʃ-/P_Numaun(smile)/shipment.mp3.wav,shipment
2) -ʒ- - -ʃ-/-ʃ-/P’Manow (Ben)/bashful.m4a.wav,bashful
2) -ʒ- - -ʃ-/-ʃ-/P’Manow (Ben)/chicanery.m4a.wav,chicanery
2) -ʒ- - -ʃ-/-ʃ-/P’Manow (Ben)/distinguish.m4a.wav,distinguish
2) -ʒ- - -ʃ-/-ʃ-/P’Manow (Ben)/flush.m4a.wav,flush
2) -ʒ- - -ʃ-/-ʃ-/P’Manow (Ben)/ratio.m4a.wav,ratio
2) -ʒ- - -ʃ-/-ʃ-/P’Manow (Ben)/shipment.m4a.wav,shipment
2) -ʒ- - -ʃ-/-ʃ-/P’Pop(เเนน)/Bashful.m4a.wav,bashful
2) -ʒ- - -ʃ-/-ʃ-/P’Pop(เเนน)/Chicanery.m4a.wav,chicanery
2) -ʒ- - -ʃ-/-ʃ-/P’Pop(เเนน)/Distinguish.m4a.wav,distinguish
2) -ʒ- - -ʃ-/-ʃ-/P’Pop(เเนน)/Flush.m4a.wav,flush
2) -ʒ- - -ʃ-/-ʃ-/P’Pop(เเนน)/Ratio.m4a.wav,ratio
2) -ʒ- - -ʃ-/-ʃ-/ไอริณ (กล้วย)/Bashful.m4a.wav,bashful
2) -ʒ- - -ʃ-/-ʃ-/ไอริณ (กล้วย)/Chicanery.m4a.wav,chicanery
2) -ʒ- - -ʃ-/-ʃ-/ไอริณ (กล้วย)/Distinguish.m4a.wav,distinguish
2) -ʒ- - -ʃ-/-ʃ-/ไอริณ (กล้วย)/Flush.m4a.wav,flush
2) -ʒ- - -ʃ-/-ʃ-/ไอริณ (กล้วย)/Ratio.m4a.wav,ratio
2) -ʒ- - -ʃ-/-ʃ-/ไอริณ (กล้วย)/Shipment.m4a.wav,shipment
2) -ʒ- - -ʃ-/-ʒ-/AJ.Aom(เเนน)/Camouflage.m4a.wav,camouflage
2) -ʒ- - -ʃ-/-ʒ-/AJ.Aom(เเนน)/jupe.m4a.wav,jupe
2) -ʒ- - -ʃ-/-ʒ-/AJ.Aom(เเนน)/Jus.m4a.wav,jus
2) -ʒ- - -ʃ-/-ʒ-/AJ.Aom(เเนน)/Luxury.m4a.wav,luxury
2) -ʒ- - -ʃ-/-ʒ-/AJ.Aom(เเนน)/Sabotage.m4a.wav,sabotage
2) -ʒ- - -ʃ-/-ʒ-/AJ.Aom(เเนน)/Unusual.m4a.wav,unusual
2) -ʒ- - -ʃ-/-ʒ-/AJ.Nine (Ben)/camouflage.m4a.wav,camouflage
2) -ʒ- - -ʃ-/-ʒ-/AJ.Nine (Ben)/jupe.m4a.wav,jupe
2) -ʒ- - -ʃ-/-ʒ-/AJ.Nine (Ben)/jus.m4a.wav,jus
2) -ʒ- - -ʃ-/-ʒ-/AJ.Nine (Ben)/luxury.m4a.wav,luxury
2) -ʒ- - -ʃ-/-ʒ-/AJ.Nine (Ben)/sabotage.m4a.wav,sabotage
2) -ʒ- - -ʃ-/-ʒ-/AJ.Nine (Ben)/unusual.m4a.wav,unusual
2) -ʒ- - -ʃ-/-ʒ-/AJ.Pang (โบว์)/Camouflage.m4a.wav,camouflage
2) -ʒ- - -ʃ-/-ʒ-/AJ.Pang (โบว์)/Jupe.m4a.wav,jupe
2) -ʒ- - -ʃ-/-ʒ-/AJ.Pang (โบว์)/Jus.m4a.wav,jus
2) -ʒ- - -ʃ-/-ʒ-/AJ.Pang (โบว์)/Luxury.m4a.wav,luxury
2) -ʒ- - -ʃ-/-ʒ-/AJ.Pang (โบว์)/Sabotage.m4a.wav,sabotage
2) -ʒ- - -ʃ-/-ʒ-/AJ.Pang (โบว์)/Unusual.m4a.wav,unusual
2) -ʒ- - -ʃ-/-ʒ-/AJ.Perry (kanplu)/camouflage.aac.wav,camouflage
2) -ʒ- - -ʃ-/-ʒ-/AJ.Perry (kanplu)/Jupe .aac.wav,jupe
2) -ʒ- - -ʃ-/-ʒ-/AJ.Perry (kanplu)/jus.aac.wav,jus
2) -ʒ- - -ʃ-/-ʒ-/AJ.Perry (kanplu)/luxury.aac.wav,luxury
2) -ʒ- - -ʃ-/-ʒ-/AJ.Perry (kanplu)/sabotage.aac.wav,sabotage
2) -ʒ- - -ʃ-/-ʒ-/AJ.Perry (kanplu)/unusual.aac.wav,unusual
2) -ʒ- - -ʃ-/-ʒ-/AJ.Ying/camouflage.mp3.wav,camouflage
2) -ʒ- - -ʃ-/-ʒ-/AJ.Ying/jupe.mp3.wav,jupe
2) -ʒ- - -ʃ-/-ʒ-/AJ.Ying/jus.mp3.wav,jus
2) -ʒ- - -ʃ-/-ʒ-/AJ.Ying/luxury .mp3.wav,luxury
2) -ʒ- - -ʃ-/-ʒ-/AJ.Ying/sabotage.mp3.wav,sabotage
2) -ʒ- - -ʃ-/-ʒ-/AJ.Ying/unusual.mp3.wav,unusual
2) -ʒ- - -ʃ-/-ʒ-/Daniel (แนน)/Camouflage.m4a.wav,camouflage
2) -ʒ- - -ʃ-/-ʒ-/Daniel (แนน)/Jupe.m4a.wav,jupe
2) -ʒ- - -ʃ-/-ʒ-/Daniel (แนน)/Jus.m4a.wav,jus
2) -ʒ- - -ʃ-/-ʒ-/Daniel (แนน)/Luxury.m4a.wav,luxury
2) -ʒ- - -ʃ-/-ʒ-/Daniel (แนน)/Sabotage.m4a.wav,sabotage
2) -ʒ- - -ʃ-/-ʒ-/Daniel (แนน)/Unusual.m4a.wav,unusual
2) -ʒ- - -ʃ-/-ʒ-/N_Aung/Camouflage.m4a.wav,camouflage
2) -ʒ- - -ʃ-/-ʒ-/N_Aung/jupe.m4a.wav,jupe
2) -ʒ- - -ʃ-/-ʒ-/N_Aung/Jus.m4a.wav,jus
2) -ʒ- - -ʃ-/-ʒ-/N_Aung/Luxury.m4a.wav,luxury
2) -ʒ- - -ʃ-/-ʒ-/N_Aung/Sabotage.m4a.wav,sabotage
2) -ʒ- - -ʃ-/-ʒ-/N_Aung/unusual.m4a.wav,unusual
2) -ʒ- - -ʃ-/-ʒ-/N_Guy (Ping)/Camouflage.m4a.wav,camouflage
2) -ʒ- - -ʃ-/-ʒ-/N_Guy (Ping)/Jupe.m4a.wav,jupe
2) -ʒ- - -ʃ-/-ʒ-/N_Guy (Ping)/Jus.m4a.wav,jus
2) -ʒ- - -ʃ-/-ʒ-/N_Guy (Ping)/Luxury.m4a.wav,luxury
2) -ʒ- - -ʃ-/-ʒ-/N_Guy (Ping)/Sabotage.m4a.wav,sabotage
2) -ʒ- - -ʃ-/-ʒ-/N_Guy (Ping)/Unusual.m4a.wav,unusual
2) -ʒ- - -ʃ-/-ʒ-/N_Maprang/camouflage.m4a.wav,camouflage
2) -ʒ- - -ʃ-/-ʒ-/N_Maprang/jupe.m4a.wav,jupe
2) -ʒ- - -ʃ-/-ʒ-/N_Maprang/jus.m4a.wav,jus
2) -ʒ- - -ʃ-/-ʒ-/N_Maprang/luxury.m4a.wav,luxury
2) -ʒ- - -ʃ-/-ʒ-/N_Maprang/sabotage.m4a.wav,sabotage
2) -ʒ- - -ʃ-/-ʒ-/N_Maprang/unusual.m4a.wav,unusual
2) -ʒ- - -ʃ-/-ʒ-/N_Stamp (Ping)/Camouflage.m4a.wav,camouflage
2) -ʒ- - -ʃ-/-ʒ-/N_Stamp (Ping)/Jupe.m4a.wav,jupe
2) -ʒ- - -ʃ-/-ʒ-/N_Stamp (Ping)/Jus.m4a.wav,jus
2) -ʒ- - -ʃ-/-ʒ-/N_Stamp (Ping)/Luxury.m4a.wav,luxury
2) -ʒ- - -ʃ-/-ʒ-/N_Stamp (Ping)/Sabotage.m4a.wav,sabotage
2) -ʒ- - -ʃ-/-ʒ-/N_Stamp (Ping)/Unusual.m4a.wav,unusual
2) -ʒ- - -ʃ-/-ʒ-/P_Meen(สมาย)/Camouflage.m4a.wav,camouflage
2) -ʒ- - -ʃ-/-ʒ-/P_Meen(สมาย)/Jupe.m4a.wav,jupe
2) -ʒ- - -ʃ-/-ʒ-/P_Meen(สมาย)/Jus.m4a.wav,jus
2) -ʒ- - -ʃ-/-ʒ-/P_Meen(สมาย)/Luxury.m4a.wav,luxury
2) -ʒ- - -ʃ-/-ʒ-/P_Meen(สมาย)/Sabotage.m4a.wav,sabotage
2) -ʒ- - -ʃ-/-ʒ-/P_Meen(สมาย)/Unusual.m4a.wav,unusual
2) -ʒ- - -ʃ-/-ʒ-/P_Numaun(smile)/camouflage.mp3.wav,camouflage
2) -ʒ- - -ʃ-/-ʒ-/P_Numaun(smile)/jupe.mp3.wav,jupe
2) -ʒ- - -ʃ-/-ʒ-/P_Numaun(smile)/jus.mp3.wav,jus
2) -ʒ- - -ʃ-/-ʒ-/P_Numaun(smile)/luxury(1).mp3.wav,luxury
2) -ʒ- - -ʃ-/-ʒ-/P_Numaun(smile)/luxury.mp3.wav,luxury
2) -ʒ- - -ʃ-/-ʒ-/P_Numaun(smile)/sabotage.mp3.wav,sabotage
2) -ʒ- - -ʃ-/-ʒ-/P_Numaun(smile)/unusual.mp3.wav,unusual
2) -ʒ- - -ʃ-/-ʒ-/P’Manow (Ben)/camouflage.m4a.wav,camouflage
2) -ʒ- - -ʃ-/-ʒ-/P’Manow (Ben)/jupe.m4a.wav,jupe
2) -ʒ- - -ʃ-/-ʒ-/P’Manow (Ben)/jus.m4a.wav,jus
2) -ʒ- - -ʃ-/-ʒ-/P’Manow (Ben)/luxury.m4a.wav,luxury
2) -ʒ- - -ʃ-/-ʒ-/P’Manow (Ben)/sabotage.m4a.wav,sabotage
2) -ʒ- - -ʃ-/-ʒ-/P’Manow (Ben)/unusal.m4a.wav,unusal
2) -ʒ- - -ʃ-/-ʒ-/ไอริณ (กล้วย)/Camouflage.m4a.wav,camouflage
2) -ʒ- - -ʃ-/-ʒ-/ไอริณ (กล้วย)/Jupe.m4a.wav,jupe
2) -ʒ- - -ʃ-/-ʒ-/ไอริณ (กล้วย)/Jus.m4a.wav,jus
2) -ʒ- - -ʃ-/-ʒ-/ไอริณ (กล้วย)/Luxury.m4a.wav,luxury
2) -ʒ- - -ʃ-/-ʒ-/ไอริณ (กล้วย)/Sabotage.m4a.wav,sabotage
2) -ʒ- - -ʃ-/-ʒ-/ไอริณ (กล้วย)/Unusual.m4a.wav,unusual
