filename,class
4) -z-  - -s-/-z-/AJ.Perry (kanplu)/enzyme.aac.wav,enzyme
4) -z-  - -s-/-z-/AJ.Perry (kanplu)/equalizer.aac.wav,equalizer
4) -z-  - -s-/-z-/AJ.Perry (kanplu)/zealous.aac.wav,zealous
4) -z-  - -s-/-z-/AJ.Perry (kanplu)/zipper.aac.wav,zipper
4) -z-  - -s-/-z-/Daniel (เเนน)/Criticize.m4a.wav,criticize
4) -z-  - -s-/-z-/Daniel (เเนน)/Emphasize.m4a.wav,emphasize
4) -z-  - -s-/-z-/Daniel (เเนน)/Enzyme.m4a.wav,enzyme
4) -z-  - -s-/-z-/Daniel (เเนน)/Equalizer.m4a.wav,equalizer
4) -z-  - -s-/-z-/Daniel (เเนน)/Zealous.m4a.wav,zealous
4) -z-  - -s-/-z-/Daniel (เเนน)/Zipper.m4a.wav,zipper
4) -z-  - -s-/-z-/N_Aung/Criticize.m4a.wav,criticize
4) -z-  - -s-/-z-/N_Aung/Emphasize.m4a.wav,emphasize
4) -z-  - -s-/-z-/N_Aung/Enzyme.m4a.wav,enzyme
4) -z-  - -s-/-z-/N_Aung/Equalizer.m4a.wav,equalizer
4) -z-  - -s-/-z-/N_Aung/Zipper.m4a.wav,zipper
4) -z-  - -s-/-z-/N_Guy (Ping)/Criticize.m4a.wav,criticize
4) -z-  - -s-/-z-/N_Guy (Ping)/Emphasize.m4a.wav,emphasize
4) -z-  - -s-/-z-/N_Guy (Ping)/Enzyme.m4a.wav,enzyme
4) -z-  - -s-/-z-/N_Guy (Ping)/Equalizer.m4a.wav,equalizer
4) -z-  - -s-/-z-/N_Guy (Ping)/Zealous.m4a.wav,zealous
4) -z-  - -s-/-z-/N_Maprang/equalizer.m4a.wav,equalizer
4) -z-  - -s-/-z-/N_Maprang/zealous.m4a.wav,zealous
4) -z-  - -s-/-z-/N_Maprang/zipper.m4a.wav,zipper
4) -z-  - -s-/-z-/N_Stamp (Ping)/Criticize.m4a.wav,criticize
4) -z-  - -s-/-z-/N_Stamp (Ping)/Emphasize.m4a.wav,emphasize
4) -z-  - -s-/-z-/N_Stamp (Ping)/Enzyme.m4a.wav,enzyme
4) -z-  - -s-/-z-/N_Stamp (Ping)/Equalizer.m4a.wav,equalizer
4) -z-  - -s-/-z-/N_Stamp (Ping)/Zealous.m4a.wav,zealous
4) -z-  - -s-/-z-/N_Stamp (Ping)/Zipper.m4a.wav,zipper
4) -z-  - -s-/-z-/P_Meen(สมาย)/Criticize.m4a.wav,criticize
4) -z-  - -s-/-z-/P_Meen(สมาย)/Emphasize.m4a.wav,emphasize
4) -z-  - -s-/-z-/P_Meen(สมาย)/Enzyme.m4a.wav,enzyme
4) -z-  - -s-/-z-/P_Meen(สมาย)/Equalizer.m4a.wav,equalizer
4) -z-  - -s-/-z-/P_Meen(สมาย)/Zealous.m4a.wav,zealous
4) -z-  - -s-/-z-/P_Meen(สมาย)/Zipper.m4a.wav,zipper
4) -z-  - -s-/-z-/P_Numaun(smile)/criticize.mp3.wav,criticize
4) -z-  - -s-/-z-/P_Numaun(smile)/emphasize.mp3.wav,emphasize
4) -z-  - -s-/-z-/P_Numaun(smile)/enzyme.mp3.wav,enzyme
4) -z-  - -s-/-z-/P_Numaun(smile)/equalizer.mp3.wav,equalizer
4) -z-  - -s-/-z-/P_Numaun(smile)/zealous.mp3.wav,zealous
4) -z-  - -s-/-z-/P_Numaun(smile)/zipper.mp3.wav,zipper
4) -z-  - -s-/-z-/P’Manow (Ben)/criticize.m4a.wav,criticize
4) -z-  - -s-/-z-/P’Manow (Ben)/emphasize.m4a.wav,emphasize
4) -z-  - -s-/-z-/P’Manow (Ben)/enzyme.m4a.wav,enzyme
4) -z-  - -s-/-z-/P’Manow (Ben)/equalizer.m4a.wav,equalizer
4) -z-  - -s-/-z-/P’Manow (Ben)/zealous.m4a.wav,zealous
4) -z-  - -s-/-z-/P’Manow (Ben)/zipper.m4a.wav,zipper
4) -z-  - -s-/-z-/P’Pop(เเนน)/Criticize.m4a.wav,criticize
4) -z-  - -s-/-z-/P’Pop(เเนน)/Emphasize.m4a.wav,emphasize
4) -z-  - -s-/-z-/P’Pop(เเนน)/Enzyme.m4a.wav,enzyme
4) -z-  - -s-/-z-/P’Pop(เเนน)/Equalizer.m4a.wav,equalizer
4) -z-  - -s-/-z-/P’Pop(เเนน)/Zealous.m4a.wav,zealous
4) -z-  - -s-/-z-/P’Pop(เเนน)/Zipper.m4a.wav,zipper
4) -z-  - -s-/-z-/ไอริณ (กล้วย)/Criticize.m4a.wav,criticize
4) -z-  - -s-/-z-/ไอริณ (กล้วย)/Emphasize.m4a.wav,emphasize
4) -z-  - -s-/-z-/ไอริณ (กล้วย)/Enzyme.m4a.wav,enzyme
4) -z-  - -s-/-z-/ไอริณ (กล้วย)/Equalizer.m4a.wav,equalizer
4) -z-  - -s-/-z-/ไอริณ (กล้วย)/Zealous.m4a.wav,zealous
4) -z-  - -s-/-z-/ไอริณ (กล้วย)/Zipper.m4a.wav,zipper
