filename,class
3) -dʒ- - -tʃ-/-dʒ-/AJ.Ying/fragile.mp3.wav,fragile
3) -dʒ- - -tʃ-/-dʒ-/AJ.Ying/indulge .mp3.wav,indulge
3) -dʒ- - -tʃ-/-dʒ-/AJ.Ying/jewelry.mp3.wav,jewelry
3) -dʒ- - -tʃ-/-dʒ-/AJ.Ying/judge.mp3.wav,judge
3) -dʒ- - -tʃ-/-dʒ-/AJ.Ying/vegetable.mp3.wav,vegetable
3) -dʒ- - -tʃ-/-dʒ-/Daniel (เเนน)/Charge.m4a.wav,charge
3) -dʒ- - -tʃ-/-dʒ-/Daniel (เเนน)/fragile.m4a.wav,fragile
3) -dʒ- - -tʃ-/-dʒ-/Daniel (เเนน)/Jewelry.m4a.wav,jewelry
3) -dʒ- - -tʃ-/-dʒ-/Daniel (เเนน)/Judge.m4a.wav,judge
3) -dʒ- - -tʃ-/-dʒ-/Daniel (เเนน)/Vegetable.m4a.wav,vegetable
3) -dʒ- - -tʃ-/-dʒ-/N_Aung/Charge.m4a.wav,charge
3) -dʒ- - -tʃ-/-dʒ-/N_Aung/Fragile.m4a.wav,fragile
3) -dʒ- - -tʃ-/-dʒ-/N_Aung/Jewelry.m4a.wav,jewelry
3) -dʒ- - -tʃ-/-dʒ-/N_Aung/Vegetable.m4a.wav,vegetable
3) -dʒ- - -tʃ-/-dʒ-/N_Guy (Ping)/Charge.m4a.wav,charge
3) -dʒ- - -tʃ-/-dʒ-/N_Guy (Ping)/fragile.m4a.wav,fragile
3) -dʒ- - -tʃ-/-dʒ-/N_Guy (Ping)/Indulge.m4a.wav,indulge
3) -dʒ- - -tʃ-/-dʒ-/N_Guy (Ping)/Jewelry.m4a.wav,jewelry
3) -dʒ- - -tʃ-/-dʒ-/N_Guy (Ping)/Judge.m4a.wav,judge
3) -dʒ- - -tʃ-/-dʒ-/N_Guy (Ping)/Vegetable.m4a.wav,vegetable
3) -dʒ- - -tʃ-/-dʒ-/N_Maprang/fragile.m4a.wav,fragile
3) -dʒ- - -tʃ-/-dʒ-/N_Stamp (Ping)/Jewelry.m4a.wav,jewelry
3) -dʒ- - -tʃ-/-dʒ-/N_Stamp (Ping)/Judge.m4a.wav,judge
3) -dʒ- - -tʃ-/-dʒ-/N_Stamp (Ping)/Vegetable.m4a.wav,vegetable
3) -dʒ- - -tʃ-/-dʒ-/P_Meen(สมาย)/Charge.m4a.wav,charge
3) -dʒ- - -tʃ-/-dʒ-/P_Meen(สมาย)/Fragile.m4a.wav,fragile
3) -dʒ- - -tʃ-/-dʒ-/P_Meen(สมาย)/Indulge.m4a.wav,indulge
3) -dʒ- - -tʃ-/-dʒ-/P_Meen(สมาย)/Jewelry.m4a.wav,jewelry
3) -dʒ- - -tʃ-/-dʒ-/P_Meen(สมาย)/Judge.m4a.wav,judge
3) -dʒ- - -tʃ-/-dʒ-/P_Meen(สมาย)/Vegetable.m4a.wav,vegetable
3) -dʒ- - -tʃ-/-dʒ-/P_Numaun(smile)/charge.mp3.wav,charge
3) -dʒ- - -tʃ-/-dʒ-/P_Numaun(smile)/fragile.mp3.wav,fragile
3) -dʒ- - -tʃ-/-dʒ-/P_Numaun(smile)/indulge.mp3.wav,indulge
3) -dʒ- - -tʃ-/-dʒ-/P_Numaun(smile)/jewelry.mp3.wav,jewelry
3) -dʒ- - -tʃ-/-dʒ-/P_Numaun(smile)/judge.mp3.wav,judge
3) -dʒ- - -tʃ-/-dʒ-/P_Numaun(smile)/vegetable.mp3.wav,vegetable
3) -dʒ- - -tʃ-/-dʒ-/P’Manow (Ben)/charge.m4a.wav,charge
3) -dʒ- - -tʃ-/-dʒ-/P’Manow (Ben)/fragile.m4a.wav,fragile
3) -dʒ- - -tʃ-/-dʒ-/P’Manow (Ben)/indulge.m4a.wav,indulge
3) -dʒ- - -tʃ-/-dʒ-/P’Manow (Ben)/jewelry.m4a.wav,jewelry
3) -dʒ- - -tʃ-/-dʒ-/P’Manow (Ben)/judge.m4a.wav,judge
3) -dʒ- - -tʃ-/-dʒ-/P’Manow (Ben)/vegetable.m4a.wav,vegetable
3) -dʒ- - -tʃ-/-dʒ-/P’Pop(เเนน)/Charge.m4a.wav,charge
3) -dʒ- - -tʃ-/-dʒ-/P’Pop(เเนน)/Fragile.m4a.wav,fragile
3) -dʒ- - -tʃ-/-dʒ-/P’Pop(เเนน)/Indulge.m4a.wav,indulge
3) -dʒ- - -tʃ-/-dʒ-/P’Pop(เเนน)/Jewelry.m4a.wav,jewelry
3) -dʒ- - -tʃ-/-dʒ-/P’Pop(เเนน)/Judge.m4a.wav,judge
3) -dʒ- - -tʃ-/-dʒ-/P’Pop(เเนน)/Vegetable.m4a.wav,vegetable
3) -dʒ- - -tʃ-/-dʒ-/ไอริณ (กล้วย)/Charge.m4a.wav,charge
3) -dʒ- - -tʃ-/-dʒ-/ไอริณ (กล้วย)/Fragile.m4a.wav,fragile
3) -dʒ- - -tʃ-/-dʒ-/ไอริณ (กล้วย)/Indulge.m4a.wav,indulge
3) -dʒ- - -tʃ-/-dʒ-/ไอริณ (กล้วย)/Jewelry.m4a.wav,jewelry
3) -dʒ- - -tʃ-/-tʃ-/AJ.Aom(เเนน)/Etching.m4a.wav,etching
3) -dʒ- - -tʃ-/-tʃ-/AJ.Aom(เเนน)/Larch.m4a.wav,larch
3) -dʒ- - -tʃ-/-tʃ-/AJ.Aom(เเนน)/Purchase.m4a.wav,purchase
3) -dʒ- - -tʃ-/-tʃ-/AJ.Aom(เเนน)/starch.m4a.wav,starch
3) -dʒ- - -tʃ-/-tʃ-/AJ.Nine (Ben)/challenge.m4a.wav,challenge
3) -dʒ- - -tʃ-/-tʃ-/AJ.Nine (Ben)/choke.m4a.wav,choke
3) -dʒ- - -tʃ-/-tʃ-/AJ.Nine (Ben)/etching.m4a.wav,etching
3) -dʒ- - -tʃ-/-tʃ-/AJ.Nine (Ben)/larch.m4a.wav,larch
3) -dʒ- - -tʃ-/-tʃ-/AJ.Nine (Ben)/purchase.m4a.wav,purchase
3) -dʒ- - -tʃ-/-tʃ-/AJ.Nine (Ben)/starch.m4a.wav,starch
3) -dʒ- - -tʃ-/-tʃ-/AJ.Pang (โบว์)/Challenge.m4a.wav,challenge
3) -dʒ- - -tʃ-/-tʃ-/AJ.Pang (โบว์)/Choke.m4a.wav,choke
3) -dʒ- - -tʃ-/-tʃ-/AJ.Pang (โบว์)/Etching.m4a.wav,etching
3) -dʒ- - -tʃ-/-tʃ-/AJ.Pang (โบว์)/Larch.m4a.wav,larch
3) -dʒ- - -tʃ-/-tʃ-/AJ.Pang (โบว์)/Purchase.m4a.wav,purchase
3) -dʒ- - -tʃ-/-tʃ-/AJ.Pang (โบว์)/Starch.m4a.wav,starch
3) -dʒ- - -tʃ-/-tʃ-/AJ.Perry (kanplu)/challenge.aac.wav,challenge
3) -dʒ- - -tʃ-/-tʃ-/AJ.Perry (kanplu)/choke.aac.wav,choke
3) -dʒ- - -tʃ-/-tʃ-/AJ.Perry (kanplu)/etching.aac.wav,etching
3) -dʒ- - -tʃ-/-tʃ-/AJ.Perry (kanplu)/larch.aac.wav,larch
3) -dʒ- - -tʃ-/-tʃ-/AJ.Perry (kanplu)/purchase.aac.wav,purchase
3) -dʒ- - -tʃ-/-tʃ-/AJ.Perry (kanplu)/starch.aac.wav,starch
3) -dʒ- - -tʃ-/-tʃ-/AJ.Ying/challenge.mp3.wav,challenge
3) -dʒ- - -tʃ-/-tʃ-/AJ.Ying/choke.mp3.wav,choke
3) -dʒ- - -tʃ-/-tʃ-/AJ.Ying/etching.mp3.wav,etching
3) -dʒ- - -tʃ-/-tʃ-/AJ.Ying/larch.mp3.wav,larch
3) -dʒ- - -tʃ-/-tʃ-/AJ.Ying/purchase.mp3.wav,purchase
3) -dʒ- - -tʃ-/-tʃ-/AJ.Ying/starch.mp3.wav,starch
3) -dʒ- - -tʃ-/-tʃ-/Daniel (เเนน)/Challenge.m4a.wav,challenge
3) -dʒ- - -tʃ-/-tʃ-/Daniel (เเนน)/Choke.m4a.wav,choke
3) -dʒ- - -tʃ-/-tʃ-/Daniel (เเนน)/Etching.m4a.wav,etching
3) -dʒ- - -tʃ-/-tʃ-/Daniel (เเนน)/Larch.m4a.wav,larch
3) -dʒ- - -tʃ-/-tʃ-/Daniel (เเนน)/Purchase.m4a.wav,purchase
3) -dʒ- - -tʃ-/-tʃ-/Daniel (เเนน)/Starch.m4a.wav,starch
3) -dʒ- - -tʃ-/-tʃ-/N_Aung/Challenge.m4a.wav,challenge
3) -dʒ- - -tʃ-/-tʃ-/N_Aung/Choke.m4a.wav,choke
3) -dʒ- - -tʃ-/-tʃ-/N_Aung/Etching.m4a.wav,etching
3) -dʒ- - -tʃ-/-tʃ-/N_Aung/purchase.m4a.wav,purchase
3) -dʒ- - -tʃ-/-tʃ-/N_Aung/Starch.m4a.wav,starch
3) -dʒ- - -tʃ-/-tʃ-/N_Guy (Ping)/Challenge.m4a.wav,challenge
3) -dʒ- - -tʃ-/-tʃ-/N_Guy (Ping)/Choke.m4a.wav,choke
3) -dʒ- - -tʃ-/-tʃ-/N_Guy (Ping)/Etching.m4a.wav,etching
3) -dʒ- - -tʃ-/-tʃ-/N_Guy (Ping)/Larch.m4a.wav,larch
3) -dʒ- - -tʃ-/-tʃ-/N_Guy (Ping)/Purchase.m4a.wav,purchase
3) -dʒ- - -tʃ-/-tʃ-/N_Guy (Ping)/Starch.m4a.wav,starch
3) -dʒ- - -tʃ-/-tʃ-/N_MP/challenge.m4a.wav,challenge
3) -dʒ- - -tʃ-/-tʃ-/N_MP/choke.m4a.wav,choke
3) -dʒ- - -tʃ-/-tʃ-/N_MP/etching.m4a.wav,etching
3) -dʒ- - -tʃ-/-tʃ-/N_MP/larch.m4a.wav,larch
3) -dʒ- - -tʃ-/-tʃ-/N_MP/purchase.m4a.wav,purchase
3) -dʒ- - -tʃ-/-tʃ-/N_MP/starch.m4a.wav,starch
3) -dʒ- - -tʃ-/-tʃ-/N_Stamp (Ping)/Challenge.m4a.wav,challenge
3) -dʒ- - -tʃ-/-tʃ-/N_Stamp (Ping)/Choke.m4a.wav,choke
3) -dʒ- - -tʃ-/-tʃ-/N_Stamp (Ping)/Etching.m4a.wav,etching
3) -dʒ- - -tʃ-/-tʃ-/N_Stamp (Ping)/Larch.m4a.wav,larch
3) -dʒ- - -tʃ-/-tʃ-/N_Stamp (Ping)/Purchase.m4a.wav,purchase
3) -dʒ- - -tʃ-/-tʃ-/N_Stamp (Ping)/Starch.m4a.wav,starch
3) -dʒ- - -tʃ-/-tʃ-/P_Meen(สมาย)/Challenge.m4a.wav,challenge
3) -dʒ- - -tʃ-/-tʃ-/P_Meen(สมาย)/Choke.m4a.wav,choke
3) -dʒ- - -tʃ-/-tʃ-/P_Meen(สมาย)/Etching.m4a.wav,etching
3) -dʒ- - -tʃ-/-tʃ-/P_Meen(สมาย)/Larch.m4a.wav,larch
3) -dʒ- - -tʃ-/-tʃ-/P_Meen(สมาย)/Purchase.m4a.wav,purchase
3) -dʒ- - -tʃ-/-tʃ-/P_Meen(สมาย)/Starch.m4a.wav,starch
3) -dʒ- - -tʃ-/-tʃ-/P_Numaun(smile)/challenge.mp3.wav,challenge
3) -dʒ- - -tʃ-/-tʃ-/P_Numaun(smile)/choke.mp3.wav,choke
3) -dʒ- - -tʃ-/-tʃ-/P_Numaun(smile)/etching.mp3.wav,etching
3) -dʒ- - -tʃ-/-tʃ-/P_Numaun(smile)/larch.mp3.wav,larch
3) -dʒ- - -tʃ-/-tʃ-/P_Numaun(smile)/purchase.mp3.wav,purchase
3) -dʒ- - -tʃ-/-tʃ-/P_Numaun(smile)/starch.mp3.wav,starch
3) -dʒ- - -tʃ-/-tʃ-/P’Manow (Ben)/challenge.m4a.wav,challenge
3) -dʒ- - -tʃ-/-tʃ-/P’Manow (Ben)/choke.m4a.wav,choke
3) -dʒ- - -tʃ-/-tʃ-/P’Manow (Ben)/etching.m4a.wav,etching
3) -dʒ- - -tʃ-/-tʃ-/P’Manow (Ben)/larch.m4a.wav,larch
3) -dʒ- - -tʃ-/-tʃ-/P’Manow (Ben)/purchase.m4a.wav,purchase
3) -dʒ- - -tʃ-/-tʃ-/P’Manow (Ben)/starch.m4a.wav,starch
3) -dʒ- - -tʃ-/-tʃ-/P’Pop(เเนน)/Challenge.m4a.wav,challenge
3) -dʒ- - -tʃ-/-tʃ-/P’Pop(เเนน)/Choke.m4a.wav,choke
3) -dʒ- - -tʃ-/-tʃ-/P’Pop(เเนน)/Etching.m4a.wav,etching
3) -dʒ- - -tʃ-/-tʃ-/P’Pop(เเนน)/Larch.m4a.wav,larch
3) -dʒ- - -tʃ-/-tʃ-/P’Pop(เเนน)/Purchase.m4a.wav,purchase
3) -dʒ- - -tʃ-/-tʃ-/P’Pop(เเนน)/Starch.m4a.wav,starch
3) -dʒ- - -tʃ-/-tʃ-/ไอริณ (กล้วย)/Challenge.m4a.wav,challenge
3) -dʒ- - -tʃ-/-tʃ-/ไอริณ (กล้วย)/Choke.m4a.wav,choke
3) -dʒ- - -tʃ-/-tʃ-/ไอริณ (กล้วย)/Etching.m4a.wav,etching
3) -dʒ- - -tʃ-/-tʃ-/ไอริณ (กล้วย)/Larch.m4a.wav,larch
3) -dʒ- - -tʃ-/-tʃ-/ไอริณ (กล้วย)/Purchase.m4a.wav,purchase
3) -dʒ- - -tʃ-/-tʃ-/ไอริณ (กล้วย)/Starch.m4a.wav,starch
