3) -dʒ- - -tʃ-/-dʒ-/P_C/Khok Pho 7 2.m4a.wav,khok pho 7 2
3) -dʒ- - -tʃ-/-dʒ-/P_C/Khok Pho 7 3.m4a.wav,khok pho 7 3
3) -dʒ- - -tʃ-/-dʒ-/P_C/Khok Pho 7 4.m4a.wav,khok pho 7 4
3) -dʒ- - -tʃ-/-dʒ-/P_C/Khok Pho 7 5.m4a.wav,khok pho 7 5
3) -dʒ- - -tʃ-/-dʒ-/P_C/Khok Pho 7 6.m4a.wav,khok pho 7 6
3) -dʒ- - -tʃ-/-dʒ-/P_C/Khok Pho 7.m4a.wav,khok pho 7

3) -dʒ- - -tʃ-/-tʃ-/P_C/Khok Pho 8 2.m4a.wav,khok pho 8 2
3) -dʒ- - -tʃ-/-tʃ-/P_C/Khok Pho 8 3.m4a.wav,khok pho 8 3
3) -dʒ- - -tʃ-/-tʃ-/P_C/Khok Pho 8 4.m4a.wav,khok pho 8 4
3) -dʒ- - -tʃ-/-tʃ-/P_C/Khok Pho 8 5.m4a.wav,khok pho 8 5
3) -dʒ- - -tʃ-/-tʃ-/P_C/Khok Pho 8 6.m4a.wav,khok pho 8 6
3) -dʒ- - -tʃ-/-tʃ-/P_C/Khok Pho 8.m4a.wav,khok pho 8

4) -z-  - -s-/-s-/P_C/Khok Pho 10 2 2.m4a.wav,khok pho 10 2 2
4) -z-  - -s-/-s-/P_C/Khok Pho 10 2 3.m4a.wav,khok pho 10 2 3
4) -z-  - -s-/-s-/P_C/Khok Pho 10 2 4.m4a.wav,khok pho 10 2 4
4) -z-  - -s-/-s-/P_C/Khok Pho 10 2 5.m4a.wav,khok pho 10 2 5
4) -z-  - -s-/-s-/P_C/Khok Pho 10 2 6.m4a.wav,khok pho 10 2 6
4) -z-  - -s-/-s-/P_C/Khok Pho 10 2.m4a.wav,khok pho 10 2

4) -z-  - -s-/-z-/P_C/Khok Pho 9 2.m4a.wav,khok pho 9 2
4) -z-  - -s-/-z-/P_C/Khok Pho 9 3.m4a.wav,khok pho 9 3
4) -z-  - -s-/-z-/P_C/Khok Pho 9 4.m4a.wav,khok pho 9 4
4) -z-  - -s-/-z-/P_C/Khok Pho 9 5.m4a.wav,khok pho 9 5
4) -z-  - -s-/-z-/P_C/Khok Pho 9 6.m4a.wav,khok pho 9 6
4) -z-  - -s-/-z-/P_C/Khok Pho 9.m4a.wav,khok pho 9

5) -b- - -p-/-b-/P_C/Khok Pho 11 2.m4a.wav,khok pho 11 2
5) -b- - -p-/-b-/P_C/Khok Pho 11 3.m4a.wav,khok pho 11 3
5) -b- - -p-/-b-/P_C/Khok Pho 11 4.m4a.wav,khok pho 11 4
5) -b- - -p-/-b-/P_C/Khok Pho 11 5.m4a.wav,khok pho 11 5
5) -b- - -p-/-b-/P_C/Khok Pho 11 6.m4a.wav,khok pho 11 6
5) -b- - -p-/-b-/P_C/Khok Pho 11.m4a.wav,khok pho 11

5) -b- - -p-/-p-/P_C/Khok Pho 12 2 2.m4a.wav,khok pho 12 2 2
5) -b- - -p-/-p-/P_C/Khok Pho 12 2 3.m4a.wav,khok pho 12 2 3
5) -b- - -p-/-p-/P_C/Khok Pho 12 2 4.m4a.wav,khok pho 12 2 4
5) -b- - -p-/-p-/P_C/Khok Pho 12 2 5.m4a.wav,khok pho 12 2 5
5) -b- - -p-/-p-/P_C/Khok Pho 12 2 6.m4a.wav,khok pho 12 2 6
5) -b- - -p-/-p-/P_C/Khok Pho 12 2.m4a.wav,khok pho 12 2
